団体コード,都道府県名,市区町村名,ふりがな,URL,ハイパーリンク,人口,人口分布,リニューアル日,ＣＭＳ,参考デザイン,トップページ,ベースカラー,グローバルメニュー,種別,備考
010006,北海道,北海道,ほっかいどう,https://www.pref.hokkaido.lg.jp/,https://www.pref.hokkaido.lg.jp/,"5,039,100",100万人以上,2021/7/3,SHIRASAGI,,,,,都道府県,
011002,北海道,札幌市,さっぽろし,https://www.city.sapporo.jp/,https://www.city.sapporo.jp/,"1,939,061",100万人以上,2026/11/30,CMS-8341,,,,,政令指定都市,
012025,北海道,函館市,はこだてし,https://www.city.hakodate.hokkaido.jp/,https://www.city.hakodate.hokkaido.jp/,"238,597",20万人～50万人,2024/1/28,JoruriCMS,〇,,,,中核市,
012033,北海道,小樽市,おたるし,https://www.city.otaru.lg.jp/,https://www.city.otaru.lg.jp/,"105,633",10万人～20万人,2021/3/22,JoruriCMS,,,,,,
012041,北海道,旭川市,あさひかわし,https://www.city.asahikawa.hokkaido.jp/,https://www.city.asahikawa.hokkaido.jp/,"318,860",20万人～50万人,2024/3/1,e-CLEAR,,,,,中核市,
012050,北海道,室蘭市,むろらんし,https://www.city.muroran.lg.jp/,https://www.city.muroran.lg.jp/,"76,071",5万人～10万人,2024/6/26,不明CMS1,,,,,,
012068,北海道,釧路市,くしろし,https://www.city.kushiro.lg.jp/,https://www.city.kushiro.lg.jp/,"156,405",10万人～20万人,2022/9/29,TsuNaGo,,,,,,
012076,北海道,帯広市,おびひろし,https://www.city.obihiro.hokkaido.jp/,https://www.city.obihiro.hokkaido.jp/,"161,186",10万人～20万人,2021/1/25,TsuNaGo,,,,,,
012084,北海道,北見市,きたみし,https://www.city.kitami.lg.jp/,https://www.city.kitami.lg.jp/,"111,089",10万人～20万人,2021/4/1,不明,,,,,,
012092,北海道,夕張市,ゆうばりし,https://www.city.yubari.lg.jp/,https://www.city.yubari.lg.jp/,"6,393",5千人～1万人,2024/3/26,NetCrew,,,,,,
012106,北海道,岩見沢市,いわみざわし,https://www.city.iwamizawa.hokkaido.jp/,https://www.city.iwamizawa.hokkaido.jp/,"75,206",5万人～10万人,2022/4/1,SmartCMS,,,,,,
012114,北海道,網走市,あばしりし,https://www.city.abashiri.hokkaido.jp/,https://www.city.abashiri.hokkaido.jp/,"32,427",3万人～5万人,2024/3/5,NetCrew,,,,,,
012122,北海道,留萌市,るもいし,https://www.e-rumoi.jp/,https://www.e-rumoi.jp/,"18,511",1万人～3万人,2016/3/31,ALAYA,,,,,,
012131,北海道,苫小牧市,とまこまいし,https://www.city.tomakomai.hokkaido.jp/,https://www.city.tomakomai.hokkaido.jp/,"165,467",10万人～20万人,2020/12/10,不明CMS2,,,,,,
012149,北海道,稚内市,わっかないし,https://www.city.wakkanai.hokkaido.jp/,https://www.city.wakkanai.hokkaido.jp/,"30,392",3万人～5万人,2025/1/28,不明CMS16,〇,トップページ,青,標準（テキスト）,,
012157,北海道,美唄市,びばいし,https://www.city.bibai.hokkaido.jp/,https://www.city.bibai.hokkaido.jp/,"18,879",1万人～3万人,2021/8/26,NetCrew,,,,,,
012165,北海道,芦別市,あしべつし,https://www.city.ashibetsu.hokkaido.jp/,https://www.city.ashibetsu.hokkaido.jp/,"11,530",1万人～3万人,2019/3/27,SHIRASAGI,,,,,,
012173,北海道,江別市,えべつし,https://www.city.ebetsu.hokkaido.jp/,https://www.city.ebetsu.hokkaido.jp/,"117,736",10万人～20万人,2019/3/27,NetCrew,,,,,,
012181,北海道,赤平市,あかびらし,https://www.city.akabira.hokkaido.jp/,https://www.city.akabira.hokkaido.jp/,"8,638",5千人～1万人,2020/1/27,SHIRASAGI,,,,,,
012190,北海道,紋別市,もんべつし,https://mombetsu.jp/,https://mombetsu.jp/,"19,633",1万人～3万人,2023/2/1,不明CMS1,,,,,,
012203,北海道,士別市,しべつし,https://www.city.shibetsu.lg.jp/,https://www.city.shibetsu.lg.jp/,"16,719",1万人～3万人,2023/2/15,SmartCMS,,,,,,
012211,北海道,名寄市,なよろし,http://www.city.nayoro.lg.jp/,http://www.city.nayoro.lg.jp/,"25,280",1万人～3万人,2015/4/1,不明CMS17,,,,,,
012220,北海道,三笠市,みかさし,https://www.city.mikasa.hokkaido.jp/,https://www.city.mikasa.hokkaido.jp/,"7,425",5千人～1万人,2011/12/1,不明CMS3,,,,,,
012238,北海道,根室市,ねむろし,https://www.city.nemuro.hokkaido.jp/,https://www.city.nemuro.hokkaido.jp/,"22,444",1万人～3万人,2018/3/1,SmartCMS,,,,,,
012246,北海道,千歳市,ちとせし,https://www.city.chitose.lg.jp/,https://www.city.chitose.lg.jp/,"96,905",5万人～10万人,2017/4/1,SHIRASAGI,,,,,,
012254,北海道,滝川市,たきかわし,https://www.city.takikawa.lg.jp/,https://www.city.takikawa.lg.jp/,"37,192",3万人～5万人,2024/2/28,NetCrew,,,,,,
012262,北海道,砂川市,すながわし,https://www.city.sunagawa.hokkaido.jp/,https://www.city.sunagawa.hokkaido.jp/,"15,473",1万人～3万人,2016/3/1,CMSKIT,,,,,,
012271,北海道,歌志内市,うたしないし,https://www.city.utashinai.hokkaido.jp/,https://www.city.utashinai.hokkaido.jp/,"2,649",1千人～5千人,2022/4/1,不明CMS3,,,,,,
012289,北海道,深川市,ふかがわし,https://www.city.fukagawa.lg.jp/,https://www.city.fukagawa.lg.jp/,"18,649",1万人～3万人,2021/4/1,不明CMS17,,,,,,
